ds,yhat,yhat_lower,yhat_upper
2023-04-28,467.74620788206346,-235.86337299161863,1178.6617488426934
2023-04-28,467.74620788206346,-285.107634549596,1159.6087794931354
2023-04-28,467.74620788206346,-213.69837675944925,1174.0399604672664
2023-04-29,528.9527507481222,-256.9529134631396,1261.1001558000844
2023-04-29,528.9527507481222,-123.75565217577797,1268.6215237963302
2023-04-29,528.9527507481222,-150.21219662667426,1229.5438592857174
2023-04-30,447.5899259186587,-246.64649126074892,1121.0818532278033
2023-04-30,447.5899259186587,-249.92487548249738,1222.5348629441125
2023-04-30,447.5899259186587,-295.88199617641266,1108.0258996261125
2023-05-01,487.1077275239478,-227.36190219191843,1240.74217018655
2023-05-01,487.1077275239478,-146.1331594474569,1160.6618043125252
2023-05-01,487.1077275239478,-257.5771242536389,1181.4960161692704
2023-05-02,438.770261675712,-240.95777355631716,1167.2627741729066
2023-05-02,438.770261675712,-266.691166085321,1176.9788172210717
2023-05-02,438.770261675712,-309.10929791390674,1185.405719616042
2023-05-03,434.7325323803791,-302.60677035695875,1163.8043018613434
2023-05-03,434.7325323803791,-250.95613239721794,1176.3328331962541
2023-05-03,434.7325323803791,-303.9571012924319,1214.882705241053
2023-05-03,434.7325323803791,-313.6790160114734,1174.00224191604
2023-05-03,434.7325323803791,-282.36009489368985,1184.055437956164
2023-05-04,454.8998013594624,-299.515160154443,1143.699868041744
2023-05-04,454.8998013594624,-213.82750641580955,1183.0428263502185
2023-05-04,454.8998013594624,-251.32803803413609,1184.721799087929
2023-05-05,467.93390179501455,-219.16535511095753,1202.9321480485498
2023-05-05,467.93390179501455,-320.3787737335209,1163.7764126226818
2023-05-05,467.93390179501455,-187.5785616739204,1197.146264156246
2023-05-05,467.93390179501455,-270.78802201799766,1221.95171587797
2023-05-05,467.93390179501455,-267.01724728885375,1136.072024850843
2023-05-06,529.140444805565,-160.9838405115561,1229.2010572074735
2023-05-06,529.140444805565,-137.07907636816154,1281.475289369487
2023-05-06,529.140444805565,-185.8027213727636,1296.4387742059773
2023-05-06,529.140444805565,-174.52654602627646,1251.8855204254044
2023-05-06,529.140444805565,-197.88337775481085,1233.2233527307615
2023-05-07,447.7776201203957,-270.5984024756398,1189.9244105396049
2023-05-07,447.7776201203957,-193.23156922142493,1184.5697190916976
2023-05-07,447.7776201203957,-275.0782442605247,1230.2099508276488
2023-05-07,447.7776201203957,-335.37428529880077,1173.337126535281
2023-05-07,447.7776201203957,-249.27128258054356,1104.1038882375617
2023-05-08,487.2954218700358,-245.3452534398235,1211.021267407617
2023-05-08,487.2954218700358,-245.92422121684422,1239.9601467841858
2023-05-08,487.2954218700358,-251.8738862962345,1200.7601707552637
2023-05-08,487.2954218700358,-225.8673806009589,1172.9240699089655
2023-05-08,487.2954218700358,-191.07905519642685,1233.7625282961083
2023-05-08,487.2954218700358,-195.8022050438796,1256.272244948545
2023-05-09,438.95795621859753,-281.301410715412,1145.3621550114174
